Date,Adj Close,Close,High,Low,Open,Volume
1993-01-29,24.38042640686035,43.9375,43.96875,43.75,43.96875,1003200
1993-02-01,24.553829193115234,44.25,44.25,43.96875,43.96875,480500
1993-02-02,24.605878829956055,44.34375,44.375,44.125,44.21875,201300
1993-02-03,24.865968704223633,44.8125,44.84375,44.375,44.40625,529400
1993-02-04,24.97000503540039,45.0,45.09375,44.46875,44.96875,531500
1993-02-05,24.952667236328125,44.96875,45.0625,44.71875,44.96875,492100
1993-02-08,24.952667236328125,44.96875,45.125,44.90625,44.96875,596100
1993-02-09,24.77927017211914,44.65625,44.8125,44.5625,44.8125,122100
1993-02-10,24.81394386291504,44.71875,44.75,44.53125,44.65625,379600
1993-02-11,24.935331344604492,44.9375,45.125,44.78125,44.78125,19500
1993-02-12,24.74457359313965,44.59375,44.875,44.59375,44.875,42500
1993-02-16,24.120346069335938,43.46875,44.46875,43.40625,44.46875,374800
1993-02-17,24.102998733520508,43.4375,43.53125,43.28125,43.46875,210900
1993-02-18,24.085664749145508,43.40625,43.9375,42.8125,43.9375,378100
1993-02-19,24.1723690032959,43.5625,43.5625,43.34375,43.40625,34900
1993-02-22,24.259056091308594,43.71875,43.78125,43.5625,43.6875,513600
1993-02-23,24.241718292236328,43.6875,43.875,43.46875,43.84375,373700
1993-02-24,24.553829193115234,44.25,44.25,43.71875,43.71875,26300
1993-02-25,24.605878829956055,44.34375,44.375,44.125,44.21875,44500
1993-02-26,24.640544891357422,44.40625,44.4375,44.1875,44.4375,66200
1993-03-01,24.571182250976562,44.28125,44.5625,44.21875,44.5625,66500
1993-03-02,24.935331344604492,44.9375,44.9375,44.25,44.3125,182400
1993-03-03,25.03938102722168,45.125,45.15625,44.9375,45.0,280100
1993-03-04,24.90065574645996,44.875,45.1875,44.875,45.1875,89500
1993-03-05,24.831298828125,44.75,45.125,44.71875,44.9375,40000
1993-03-08,25.38617706298828,45.75,45.75,44.84375,44.84375,50800
1993-03-09,25.299467086791992,45.59375,45.6875,45.5,45.65625,169300
1993-03-10,25.35149574279785,45.6875,45.6875,45.40625,45.59375,194400
1993-03-11,25.282136917114258,45.5625,45.84375,45.5,45.71875,70900
1993-03-12,25.02203941345215,45.09375,45.21875,44.8125,45.1875,643600
1993-03-15,25.143413543701172,45.3125,45.3125,45.0625,45.0625,310800
1993-03-16,25.143413543701172,45.3125,45.4375,45.3125,45.3125,30800
1993-03-17,24.98733901977539,45.03125,45.25,44.96875,45.25,21800
1993-03-18,25.143413543701172,45.3125,45.5,45.21875,45.21875,59300
1993-03-19,25.105361938476562,45.03125,45.28125,45.03125,45.28125,66900
1993-03-22,24.96599006652832,44.78125,44.875,44.5625,44.59375,183400
1993-03-23,25.01825523376465,44.875,44.9375,44.8125,44.90625,55200
1993-03-24,25.01825523376465,44.875,45.0625,44.59375,44.8125,37200
1993-03-25,25.1750431060791,45.15625,45.25,44.84375,44.90625,110100
1993-03-26,25.03567886352539,44.90625,45.15625,44.875,45.125,101500
1993-03-29,25.140201568603516,45.09375,45.3125,44.9375,44.9375,87100
1993-03-30,25.20989418029785,45.21875,45.21875,45.09375,45.15625,56000
1993-03-31,25.19247817993164,45.1875,45.46875,45.1875,45.34375,111600
1993-04-01,25.105361938476562,45.03125,45.25,44.9375,45.25,129500
1993-04-02,24.582693099975586,44.09375,44.65625,44.09375,44.65625,59400
1993-04-05,24.704660415649414,44.3125,44.4375,44.1875,44.4375,172200
1993-04-06,24.634965896606445,44.1875,44.40625,44.0625,44.40625,129700
1993-04-07,24.722082138061523,44.34375,44.34375,44.15625,44.25,28000
1993-04-08,24.68722152709961,44.28125,44.53125,44.09375,44.53125,180800
1993-04-12,25.03567886352539,44.90625,44.9375,44.65625,44.71875,348500
1993-04-13,25.087942123413086,45.0,45.15625,44.84375,44.875,146100
1993-04-14,25.053115844726562,44.9375,45.0625,44.90625,45.03125,119600
1993-04-15,25.053115844726562,44.9375,45.03125,44.75,44.90625,148600
1993-04-16,25.053115844726562,44.9375,45.03125,44.875,44.96875,47900
1993-04-19,24.948566436767578,44.75,45.0625,44.71875,44.9375,157000
1993-04-20,24.826618194580078,44.53125,44.75,44.25,44.6875,279500
1993-04-21,24.80918312072754,44.5,44.625,44.375,44.625,67900
1993-04-22,24.49559211730957,43.9375,44.6875,43.9375,44.3125,97700
1993-04-23,24.39105224609375,43.75,43.96875,43.6875,43.84375,106000
1993-04-26,24.199417114257812,43.40625,43.9375,43.28125,43.78125,62600
1993-04-27,24.46074676513672,43.875,43.875,43.34375,43.34375,156800
1993-04-28,24.408472061157227,43.78125,43.90625,43.71875,43.8125,85900
1993-04-29,24.513010025024414,43.96875,43.96875,43.625,43.875,85000
1993-04-30,24.547855377197266,44.03125,44.28125,44.03125,44.125,88500
1993-05-03,24.704660415649414,44.3125,44.3125,43.90625,44.09375,80500
1993-05-04,24.791776657104492,44.46875,44.625,44.34375,44.40625,149100
1993-05-05,24.861454010009766,44.59375,44.75,44.46875,44.46875,109000
1993-05-06,24.774333953857422,44.4375,44.5625,44.40625,44.53125,54700
1993-05-07,24.722082138061523,44.34375,44.46875,44.28125,44.46875,68000
1993-05-10,24.774333953857422,44.4375,44.6875,44.40625,44.40625,113900
1993-05-11,24.878862380981445,44.625,44.625,44.3125,44.4375,42600
1993-05-12,24.844036102294922,44.5625,44.59375,44.4375,44.4375,31000
1993-05-13,24.547855377197266,44.03125,44.375,44.0,44.375,129100
1993-05-14,24.53043556213379,44.0,44.15625,43.96875,44.03125,63500
1993-05-17,24.617551803588867,44.15625,44.15625,43.9375,44.125,34000
1993-05-18,24.600126266479492,44.125,44.21875,43.96875,44.1875,105200
1993-05-19,25.105361938476562,45.03125,45.03125,43.84375,44.125,50200
1993-05-20,25.1750431060791,45.15625,45.15625,44.9375,45.03125,98200
1993-05-21,24.948566436767578,44.75,45.25,44.71875,45.1875,221400
1993-05-24,25.053115844726562,44.9375,45.09375,44.84375,44.84375,30500
1993-05-25,25.105361938476562,45.03125,45.125,45.03125,45.125,191800
1993-05-26,25.418964385986328,45.59375,45.625,45.125,45.15625,102400
1993-05-27,25.331857681274414,45.4375,45.65625,45.375,45.65625,53800
1993-05-28,25.20989418029785,45.21875,45.40625,45.0,45.40625,79100
1993-06-01,25.453811645507812,45.65625,45.8125,45.3125,45.375,28300
1993-06-02,25.418964385986328,45.59375,45.75,45.34375,45.53125,20300
1993-06-03,25.331857681274414,45.4375,45.5,45.34375,45.5,21600
1993-06-04,25.244728088378906,45.28125,45.3125,45.09375,45.3125,32000
1993-06-07,25.15763282775879,45.125,45.375,45.125,45.375,121400
1993-06-08,24.931133270263672,44.71875,45.0,44.71875,45.0,104500
1993-06-09,25.01825523376465,44.875,45.0625,44.8125,44.875,43300
1993-06-10,25.03567886352539,44.90625,44.9375,44.75,44.84375,17900
1993-06-11,25.140201568603516,45.09375,45.15625,44.90625,45.0625,647400
1993-06-14,25.105361938476562,45.03125,45.1875,45.03125,45.15625,64200
1993-06-15,25.053115844726562,44.9375,45.125,44.9375,45.09375,142400
1993-06-16,25.105361938476562,45.03125,45.03125,44.8125,44.9375,330900
1993-06-17,25.19247817993164,45.1875,45.1875,45.03125,45.125,37400
1993-06-18,24.985002517700195,44.5,44.84375,44.5,44.84375,58500
1993-06-21,25.03765106201172,44.59375,44.625,44.53125,44.625,29300
1993-06-22,25.055192947387695,44.625,44.65625,44.5625,44.65625,137500
1993-06-23,24.827104568481445,44.21875,44.625,44.21875,44.625,227600
